date,mean,meanQual
2/14/2015,5.51,A
2/15/2015,5.05,A
2/16/2015,4.76,A
2/17/2015,7.32,A
2/18/2015,9.38,A
2/19/2015,9.57,A
2/20/2015,9.72,A
2/21/2015,9.95,A
2/22/2015,8.45,A
2/23/2015,6.4,A
2/24/2015,5.55,A
2/25/2015,6.71,A
2/26/2015,7.25,A
2/27/2015,7.03,A
2/28/2015,9.64,A
3/1/2015,11.42,A
3/2/2015,11,A
3/3/2015,10.84,A
3/4/2015,10.69,A
3/5/2015,10.37,A
3/6/2015,11.02,A
3/7/2015,12.6,A
3/8/2015,13.28,A
3/9/2015,13.46,A
3/10/2015,13.41,A
3/11/2015,13.52,A
3/12/2015,14.37,A
3/13/2015,14.82,A
3/14/2015,14.99,A
3/15/2015,14.44,A
3/16/2015,13.31,A
3/17/2015,12.07,A
3/18/2015,11.06,A
3/19/2015,10.33,A
3/20/2015,10.04,A
3/21/2015,10.15,A
3/22/2015,10.08,A
3/23/2015,9.94,A
3/24/2015,10.14,A
3/25/2015,10.43,A
3/26/2015,10.17,A
3/27/2015,10.11,A
3/28/2015,10.33,A
3/29/2015,10.24,A
3/30/2015,10.03,A
3/31/2015,9.85,A
4/1/2015,9.73,A
4/2/2015,10.19,A
4/3/2015,10.56,A
4/4/2015,10.66,A
4/5/2015,10.62,A
4/6/2015,10.58,A
4/7/2015,10.6,A
4/8/2015,10.59,A
4/9/2015,10.76,A
4/10/2015,10.9,A
4/11/2015,10.87,A
4/12/2015,10.7,A
4/13/2015,10.52,A
4/14/2015,10.46,A
4/15/2015,10.92,A
4/16/2015,12.01,A
4/17/2015,12.51,A
4/18/2015,12.66,A
4/19/2015,12.89,A
4/20/2015,13.08,A
4/21/2015,13.68,A
4/22/2015,14.09,A
4/23/2015,14.7,A
4/24/2015,15.31,A
4/25/2015,15.89,A
4/26/2015,16.15,A
4/27/2015,16.26,A
4/28/2015,15.96,A
4/29/2015,15.54,A
4/30/2015,15.21,A
5/1/2015,14.97,A
5/2/2015,14.72,A
5/3/2015,14.15,A
5/4/2015,13.53,A
5/5/2015,12.64,A
5/6/2015,11.97,A
5/7/2015,11.54,A
5/8/2015,11.24,A
5/9/2015,10.97,A
5/10/2015,10.41,A
5/11/2015,9.81,A
5/12/2015,9.1,A
5/13/2015,8.12,A
5/14/2015,7.33,A
5/15/2015,6.54,A
5/16/2015,5.95,A
5/17/2015,5.46,A
5/18/2015,4.84,A
5/19/2015,4.29,A
5/20/2015,4.01,A
5/21/2015,3.96,A
5/22/2015,3.9,A
5/23/2015,3.78,A
5/24/2015,3.63,A
5/25/2015,3.51,A
5/26/2015,3.39,A
5/27/2015,3.4,A
5/28/2015,3.36,A
5/29/2015,3.34,A
5/30/2015,3.33,A
5/31/2015,3.31,A
6/1/2015,3.26,A
6/2/2015,3.2,A
6/3/2015,3.36,A
6/4/2015,3.53,A
6/5/2015,3.72,A
6/6/2015,3.56,A
6/7/2015,3.95,A
6/8/2015,4.19,A
6/9/2015,4.38,A
6/10/2015,4.46,A
6/11/2015,4.45,A
6/12/2015,4.47,A
6/13/2015,4.49,A
6/14/2015,4.57,A
6/15/2015,,
6/16/2015,4.59,A
6/17/2015,5.53,A
6/18/2015,5.66,A
6/19/2015,4.8,A
6/20/2015,4.65,A
6/21/2015,4.51,A
6/22/2015,4.02,A
6/23/2015,4.06,A
6/24/2015,4.89,A
6/25/2015,5.36,A
6/26/2015,5.58,A
6/27/2015,7.26,A
6/28/2015,6.58,A
6/29/2015,5.11,A
6/30/2015,4.26,A
7/1/2015,4.24,A
7/2/2015,4.88,A
7/3/2015,5.36,A
7/4/2015,5.49,A
7/5/2015,5.15,A
7/6/2015,4.26,A
7/7/2015,4.38,A
7/8/2015,4.71,A
7/9/2015,7.41,A
7/10/2015,10.04,A
7/11/2015,9.51,A
7/12/2015,7.36,A
7/13/2015,5.36,A
7/14/2015,5.5,A
7/15/2015,6.79,A
7/16/2015,6.92,A
7/17/2015,6.89,A
7/18/2015,6.98,A
7/19/2015,6.16,A
7/20/2015,4.9,A
7/21/2015,5.29,A
7/22/2015,6.32,A
7/23/2015,5.78,A
7/24/2015,4.78,A
7/25/2015,3.86,A
7/26/2015,3.55,A
7/27/2015,3.49,A
7/28/2015,3.68,A
7/29/2015,3.95,A
7/30/2015,4.01,A
7/31/2015,4.16,A
8/1/2015,4,A
8/2/2015,3.66,A
8/3/2015,3.52,A
8/4/2015,3.79,A
8/5/2015,4.6,A
8/6/2015,5.11,A
8/7/2015,4.75,A
8/8/2015,4.1,A
8/9/2015,3.55,A
8/10/2015,3.38,A
8/11/2015,3.93,A
8/12/2015,4.9,A
8/13/2015,5.17,A
8/14/2015,4.9,A
8/15/2015,4.71,A
8/16/2015,4.19,A
8/17/2015,3.5,A
8/18/2015,3.65,A
8/19/2015,4.14,A
8/20/2015,4.44,A
8/21/2015,4.17,A
8/22/2015,3.37,A
8/23/2015,2.93,A
8/24/2015,2.87,A
8/25/2015,3.02,A
8/26/2015,3.15,A
8/27/2015,4.74,A
8/28/2015,5.34,A
8/29/2015,3.87,A
8/30/2015,3.15,A
8/31/2015,3.07,A
9/1/2015,3.54,A
9/2/2015,4.04,A
9/3/2015,4.15,A
9/4/2015,4.5,A
9/5/2015,4.41,A
9/6/2015,3.49,A
9/7/2015,3.22,A
9/8/2015,3.12,A
9/9/2015,3.54,A
9/10/2015,4.39,A
9/11/2015,4.97,A
9/12/2015,4.94,A
9/13/2015,4.41,A
9/14/2015,3.33,A
9/15/2015,2.93,A
9/16/2015,3.34,A
9/17/2015,4.15,A
9/18/2015,4.05,A
9/19/2015,4.38,A
9/20/2015,3.94,A
9/21/2015,2.78,A
9/22/2015,2.37,A
9/23/2015,2.74,A
9/24/2015,4.09,A
9/25/2015,4.91,A
9/26/2015,5.54,A
9/27/2015,4.93,A
9/28/2015,3.91,A
9/29/2015,4.19,A
9/30/2015,5.86,A
10/1/2015,8.12,A
10/2/2015,9.23,A
10/3/2015,9.82,A
10/4/2015,14.11,A
10/5/2015,15.59,A
10/6/2015,15.98,A
10/7/2015,16.25,A
10/8/2015,16.47,A
10/9/2015,16.65,A
10/10/2015,16.75,A
10/11/2015,16.82,A
10/12/2015,16.87,A
10/13/2015,16.9,A
10/14/2015,16.93,A
10/15/2015,16.94,A
10/16/2015,16.88,A
10/17/2015,16.55,A
10/18/2015,15.58,A
10/19/2015,14.35,A
10/20/2015,13.08,A
10/21/2015,11.47,A
10/22/2015,10.12,A
10/23/2015,9.2,A
10/24/2015,8.27,A
10/25/2015,6.29,A
10/26/2015,4.71,A
10/27/2015,4.95,A
10/28/2015,6.24,A
10/29/2015,6.64,A
10/30/2015,7.2,A
10/31/2015,7.02,A
11/1/2015,5.67,A
11/2/2015,4.84,A
11/3/2015,8.1,A
11/4/2015,10.02,A
11/5/2015,10.94,A
11/6/2015,12.35,A
11/7/2015,13.21,A
11/8/2015,12.79,A
11/9/2015,12.36,A
11/10/2015,12.6,A
11/11/2015,13.1,A
11/12/2015,14.57,A
11/13/2015,15.26,A
11/14/2015,15.67,A
11/15/2015,16.05,A
11/16/2015,16.34,A
11/17/2015,16.54,A
11/18/2015,16.66,A
11/19/2015,16.78,A
11/20/2015,16.86,A
11/21/2015,16.93,A
11/22/2015,17.01,A
11/23/2015,17.04,A
11/24/2015,17.02,A
11/25/2015,17,A
11/26/2015,17,A
11/27/2015,17.01,A
11/28/2015,17.02,A
11/29/2015,17.03,A
11/30/2015,17.04,A
12/1/2015,17,A
12/2/2015,16.79,A
12/3/2015,16.47,A
12/4/2015,16.38,A
12/5/2015,16.32,A
12/6/2015,15.59,A
12/7/2015,14.69,A
12/8/2015,14.1,A
12/9/2015,13.48,A
12/10/2015,13.87,A
12/11/2015,13.48,A
12/12/2015,12.95,A
12/13/2015,12.46,A
12/14/2015,11.83,A
12/15/2015,11.57,A
12/16/2015,11.65,A
12/17/2015,11.68,A
12/18/2015,11.87,A
12/19/2015,11.85,A
12/20/2015,11.55,A
12/21/2015,11.27,A
12/22/2015,12.72,A
12/23/2015,12.54,A
12/24/2015,13.53,A
12/25/2015,15.25,A
12/26/2015,15.85,A
12/27/2015,16.22,A
12/28/2015,16.49,A
12/29/2015,16.71,A
12/30/2015,16.86,A
12/31/2015,17.05,A
1/1/2016,17.15,A
1/2/2016,17.2,A
1/3/2016,17.22,A
1/4/2016,17.23,A
1/5/2016,17.24,A
1/6/2016,17.24,A
1/7/2016,17.25,A
1/8/2016,17.24,A
1/9/2016,17.24,A
1/10/2016,17.23,A
1/11/2016,17.22,A
1/12/2016,17.21,A
1/13/2016,17.2,A
1/14/2016,17.18,A
1/15/2016,17.19,A
1/16/2016,17.2,A
1/17/2016,17.21,A
1/18/2016,17.23,A
1/19/2016,17.23,A
1/20/2016,17.22,A
1/21/2016,17.22,A
1/22/2016,17.24,A
1/23/2016,17.31,A
1/24/2016,17.29,A
1/25/2016,17.06,A
1/26/2016,17.01,A
1/27/2016,17.05,A
1/28/2016,17.08,A
1/29/2016,17.11,A
1/30/2016,17.13,A
1/31/2016,17.14,A
2/1/2016,17.16,A
2/2/2016,17.16,A
2/3/2016,17.08,A
2/4/2016,16.92,A
2/5/2016,16.96,A
2/6/2016,17.04,A
2/7/2016,17.14,A
2/8/2016,17.2,A
2/9/2016,17.22,A
2/10/2016,17.23,A
2/11/2016,17.24,A
2/12/2016,17.23,A
2/13/2016,17.23,A
2/14/2016,17.21,A
2/15/2016,17.21,A
2/16/2016,17.23,A
2/17/2016,17.26,A
2/18/2016,17.27,A
2/19/2016,17.27,A
2/20/2016,17.28,A
2/21/2016,17.28,A
2/22/2016,17.27,A
2/23/2016,17.27,A
2/24/2016,17.29,A
2/25/2016,17.27,A
2/26/2016,17.11,A
2/27/2016,16.9,A
2/28/2016,16.86,A
2/29/2016,16.92,A
3/1/2016,16.95,A
3/2/2016,16.99,A
3/3/2016,17,A
3/4/2016,17.02,A
3/5/2016,17.01,A
3/6/2016,17.03,A
3/7/2016,17.03,A
3/8/2016,17.03,A
3/9/2016,17.04,A
3/10/2016,17.04,A
3/11/2016,17.04,A
3/12/2016,17.04,A
3/13/2016,17.05,A
3/14/2016,17.08,A
3/15/2016,17.09,A
3/16/2016,17.03,A
3/17/2016,16.79,A
3/18/2016,16.3,A
3/19/2016,15.84,A
3/20/2016,15.3,A
3/21/2016,14.88,A
3/22/2016,14.41,A
3/23/2016,14.02,A
3/24/2016,13.7,A
3/25/2016,13.48,A
3/26/2016,13.29,A
3/27/2016,13.12,A
3/28/2016,13.15,A
3/29/2016,13.08,A
3/30/2016,12.91,A
3/31/2016,12.74,A
4/1/2016,12.63,A
4/2/2016,12.52,A
4/3/2016,12.38,A
4/4/2016,12.2,A
4/5/2016,12.13,A
4/6/2016,12.04,A
4/7/2016,12.01,A
4/8/2016,11.96,A
4/9/2016,11.87,A
4/10/2016,11.66,A
4/11/2016,11.51,A
4/12/2016,11.38,A
4/13/2016,11.36,A
4/14/2016,11.27,A
4/15/2016,11.2,A
4/16/2016,10.99,A
4/17/2016,10.03,A
4/18/2016,9.1,A
4/19/2016,8.73,A
4/20/2016,8.64,A
4/21/2016,8.57,A
4/22/2016,8.53,A
4/23/2016,8.49,A
4/24/2016,8.15,A
4/25/2016,7.75,A
4/26/2016,7.21,A
4/27/2016,6.79,A
4/28/2016,7.39,A
4/29/2016,8.77,A
4/30/2016,9.13,A
5/1/2016,8.77,A
5/2/2016,8.24,A
5/3/2016,7.77,A
5/4/2016,7.66,A
5/5/2016,8.32,A
5/6/2016,9.43,A
5/7/2016,10.5,A
5/8/2016,11.98,A
5/9/2016,13.78,A
5/10/2016,14.61,A
5/11/2016,15.24,A
5/12/2016,15.71,A
5/13/2016,16.06,A
5/14/2016,16.33,A
5/15/2016,16.55,A
5/16/2016,16.68,A
5/17/2016,16.77,A
5/18/2016,16.85,A
5/19/2016,16.9,A
5/20/2016,16.94,A
5/21/2016,16.99,A
5/22/2016,17.01,A
5/23/2016,17.01,A
5/24/2016,17.01,A
5/25/2016,17.01,A
5/26/2016,17.01,A
5/27/2016,17,A
5/28/2016,17,A
5/29/2016,17.02,A
5/30/2016,16.95,A
5/31/2016,16.58,A
6/1/2016,15.93,A
6/2/2016,15.21,A
6/3/2016,14.55,A
6/4/2016,14.01,A
6/5/2016,13.65,A
6/6/2016,13.38,A
6/7/2016,12.91,A
6/8/2016,12.59,A
6/9/2016,12.47,A
6/10/2016,12.37,A
6/11/2016,12.27,A
6/12/2016,11.95,A
6/13/2016,11.53,A
6/14/2016,11.21,A
6/15/2016,10.83,A
6/16/2016,10.3,A
6/17/2016,10.19,A
6/18/2016,10.34,A
6/19/2016,8.64,A
6/20/2016,6.44,A
6/21/2016,5.12,A
6/22/2016,5.14,A
6/23/2016,5.05,A
6/24/2016,4.59,A
6/25/2016,4.51,A
6/26/2016,4.57,A
6/27/2016,7.71,A
6/28/2016,10.49,A
6/29/2016,11.38,A
6/30/2016,11.99,A
7/1/2016,12.68,A
7/2/2016,12.75,A
7/3/2016,10.09,A
7/4/2016,7.7,A
7/5/2016,6.08,A
7/6/2016,5.92,A
7/7/2016,6.68,A
7/8/2016,6.93,A
7/9/2016,6.27,A
7/10/2016,7.97,A
7/11/2016,7.15,A
7/12/2016,8.23,A
7/13/2016,10.91,A
7/14/2016,12.22,A
7/15/2016,13.62,A
7/16/2016,14.78,A
7/17/2016,13.68,A
7/18/2016,10.63,A
7/19/2016,10.65,A
7/20/2016,10.96,A
7/21/2016,10.7,A
7/22/2016,10.55,A
7/23/2016,10.39,A
7/24/2016,8.87,A
7/25/2016,7.16,A
7/26/2016,6.36,A
7/27/2016,6.29,A
7/28/2016,6.12,A
7/29/2016,6.02,A
7/30/2016,5.41,A
7/31/2016,4.5,A
8/1/2016,4.42,A
8/2/2016,6.85,A
8/3/2016,6.92,A
8/4/2016,6.61,A
8/5/2016,6.36,A
8/6/2016,5.58,A
8/7/2016,4.52,A
8/8/2016,4.18,A
8/9/2016,4.06,A
8/10/2016,4.41,A
8/11/2016,9.17,A
8/12/2016,11.5,A
8/13/2016,8.77,A
8/14/2016,5.87,A
8/15/2016,4.88,A
8/16/2016,5.83,A
8/17/2016,7.25,A
8/18/2016,8.12,A
8/19/2016,6.8,A
8/20/2016,5.87,A
8/21/2016,5.43,A
8/22/2016,4.31,A
8/23/2016,5.51,A
8/24/2016,7.63,A
8/25/2016,7.9,A
8/26/2016,6.63,A
8/27/2016,6.59,A
8/28/2016,6.26,A
8/29/2016,4.67,A
8/30/2016,4.36,A
8/31/2016,6.4,A
9/1/2016,7.47,A
9/2/2016,6.19,A
9/3/2016,5.69,A
9/4/2016,5.39,A
9/5/2016,4.77,A
9/6/2016,4.47,A
9/7/2016,4.45,A
9/8/2016,4.9,A
9/9/2016,5.72,A
9/10/2016,5.99,A
9/11/2016,5.4,A
9/12/2016,4.52,A
9/13/2016,4.44,A
9/14/2016,5.09,A
9/15/2016,5.22,A
9/16/2016,4.72,A
9/17/2016,3.94,A
9/18/2016,3.58,A
9/19/2016,3.58,A
9/20/2016,4.68,A
9/21/2016,6.73,A
9/22/2016,10.02,A
9/23/2016,12.13,A
9/24/2016,12.03,A
9/25/2016,10.19,A
9/26/2016,8.21,A
9/27/2016,7.59,A
9/28/2016,7.67,A
9/29/2016,7.57,A
9/30/2016,7.47,A
10/1/2016,7.33,A
10/2/2016,6.52,A
10/3/2016,5.49,A
10/4/2016,5.23,A
10/5/2016,5.94,A
10/6/2016,6.32,A
10/7/2016,6.54,A
10/8/2016,7.12,A
10/9/2016,15.51,A
10/10/2016,16.97,A
10/11/2016,17.32,A
10/12/2016,17.46,A
10/13/2016,17.52,A
10/14/2016,17.36,A
10/15/2016,17,A
10/16/2016,17,A
10/17/2016,17.1,A
10/18/2016,17.19,A
